EZABPQM;Tranche_Debut;Tranche_Fin;Mnémo;Territoire;Date_Attribution
01056;0105600000;0105699999;FRTE;Métropole;01/01/2017
01057;0105700000;0105799999;FRTE;Métropole;01/01/2017
01058;0105800000;0105899999;FRTE;Métropole;01/01/2017
01059;0105900000;0105999999;FRTE;Métropole;01/01/2017
01241;0124100000;0124199999;FRTE;Métropole;01/01/2017
01242;0124200000;0124299999;FRTE;Métropole;01/01/2017
0130;0130000000;0130999999;FRTE;Métropole;01/01/2017
0134;0134000000;0134999999;FRTE;Métropole;01/01/2017
0139;0139000000;0139999999;FRTE;Métropole;01/01/2017
0140;0140000000;0140999999;FRTE;Métropole;01/01/2017
0141;0141000000;0141999999;FRTE;Métropole;01/01/2017
0142;0142000000;0142999999;FRTE;Métropole;01/01/2017
0143;0143000000;0143999999;FRTE;Métropole;01/01/2017
0144;0144000000;0144999999;FRTE;Métropole;01/01/2017
0145;0145000000;0145999999;FRTE;Métropole;01/01/2017
0146;0146000000;0146999999;FRTE;Métropole;01/01/2017
0147;0147000000;0147999999;FRTE;Métropole;01/01/2017
01480;0148000000;0148099999;FRTE;Métropole;01/01/2017
014810;0148100000;0148109999;FRTE;Métropole;01/01/2017
014811;0148110000;0148119999;FRTE;Métropole;01/01/2017
014812;0148120000;0148129999;FRTE;Métropole;01/01/2017
014813;0148130000;0148139999;FRTE;Métropole;01/01/2017
014814;0148140000;0148149999;FRTE;Métropole;01/01/2017
014815;0148150000;0148159999;FRTE;Métropole;01/01/2017
014816;0148160000;0148169999;HUBT;Métropole;27/07/2001
014817;0148170000;0148179999;FRTE;Métropole;01/01/2017
014818;0148180000;0148189999;FRTE;Métropole;01/01/2017
014819;0148190000;0148199999;FRTE;Métropole;01/01/2017
01482;0148200000;0148299999;FRTE;Métropole;01/01/2017
01483;0148300000;0148399999;FRTE;Métropole;01/01/2017
01484;0148400000;0148499999;FRTE;Métropole;01/01/2017
01485;0148500000;0148599999;FRTE;Métropole;01/01/2017
014860;0148600000;0148609999;FRTE;Métropole;01/01/2017
014861;0148610000;0148619999;FRTE;Métropole;01/01/2017
014862;0148620000;0148629999;HUBT;Métropole;27/07/2001
014863;0148630000;0148639999;FRTE;Métropole;01/01/2017
014864;0148640000;0148649999;HUBT;Métropole;27/07/2001
014865;0148650000;0148659999;FRTE;Métropole;01/01/2017
014866;0148660000;0148669999;FRTE;Métropole;01/01/2017
014867;0148670000;0148679999;FRTE;Métropole;01/01/2017
014868;0148680000;0148689999;FRTE;Métropole;01/01/2017
014869;0148690000;0148699999;FRTE;Métropole;01/01/2017
01487;0148700000;0148799999;FRTE;Métropole;01/01/2017
01488;0148800000;0148899999;FRTE;Métropole;01/01/2017
01489;0148900000;0148999999;FRTE;Métropole;01/01/2017
01490;0149000000;0149099999;FRTE;Métropole;01/01/2017
01491;0149100000;0149199999;FRTE;Métropole;01/01/2017
01492;0149200000;0149299999;FRTE;Métropole;01/01/2017
01493;0149300000;0149399999;FRTE;Métropole;01/01/2017
01494;0149400000;0149499999;FRTE;Métropole;01/01/2017
01495;0149500000;0149599999;FRTE;Métropole;01/01/2017
01496;0149600000;0149699999;FRTE;Métropole;01/01/2017
014970;0149700000;0149709999;FRTE;Métropole;01/01/2017
014971;0149710000;0149719999;FRTE;Métropole;01/01/2017
014972;0149720000;0149729999;FRTE;Métropole;01/01/2017
014973;0149730000;0149739999;FRTE;Métropole;01/01/2017
014974;0149740000;0149749999;FRTE;Métropole;01/01/2017
014975;0149750000;0149759999;HUBT;Métropole;27/07/2001
014976;0149760000;0149769999;FRTE;Métropole;01/01/2017
014977;0149770000;0149779999;FRTE;Métropole;01/01/2017
014978;0149780000;0149789999;FRTE;Métropole;01/01/2017
014979;0149790000;0149799999;FRTE;Métropole;01/01/2017
01498;0149800000;0149899999;FRTE;Métropole;01/01/2017
01499;0149900000;0149999999;FRTE;Métropole;01/01/2017
0150;0150000000;0150999999;FRTE;Métropole;01/01/2017
0153;0153000000;0153999999;FRTE;Métropole;01/01/2017
0155;0155000000;0155999999;FRTE;Métropole;01/01/2017
0156;0156000000;0156999999;FRTE;Métropole;01/01/2017
0157;0157000000;0157999999;FRTE;Métropole;01/01/2017
0158;0158000000;0158999999;FRTE;Métropole;01/01/2017
015900;0159000000;0159009999;RCFR;Métropole;07/09/2022
0159010;0159010000;0159010999;REDM;Métropole;26/09/2022
0159019;0159019000;0159019999;REDM;Métropole;26/09/2022
0159020;0159020000;0159020999;PURE;Métropole;19/02/2025
0159021;0159021000;0159021999;PURE;Métropole;19/02/2025
015903;0159030000;0159039999;MSIO;Métropole;05/10/2022
015904;0159040000;0159049999;MSIO;Métropole;23/12/2024
0159050;0159050000;0159050999;ELOQ;Métropole;19/10/2022
015906;0159060000;0159069999;GGCF;Métropole;02/10/2025
0159070;0159070000;0159070999;TLCZ;Métropole;19/10/2022
0159071;0159071000;0159071999;FRSP;Métropole;16/01/2026
0159072;0159072000;0159072999;FRSP;Métropole;16/01/2026
0159073;0159073000;0159073999;FRSP;Métropole;16/01/2026
0159074;0159074000;0159074999;FRSP;Métropole;16/01/2026
0159075;0159075000;0159075999;FRSP;Métropole;16/01/2026
0159076;0159076000;0159076999;FRSP;Métropole;16/01/2026
0159077;0159077000;0159077999;TLCZ;Métropole;19/10/2022
0159078;0159078000;0159078999;ABEI;Métropole;29/04/2025
0159079;0159079000;0159079999;TLCZ;Métropole;19/10/2022
0159080;0159080000;0159080999;NFFR;Métropole;24/02/2025
0159081;0159081000;0159081999;NFFR;Métropole;02/04/2025
0159110;0159110000;0159110999;STEL;Métropole;09/12/2022
0159120;0159120000;0159120999;GTTI;Métropole;17/11/2022
015913;0159130000;0159139999;TWIL;Métropole;09/12/2022
015914;0159140000;0159149999;VOIC;Métropole;09/12/2022
0159150;0159150000;0159150999;ABCL;Métropole;12/12/2022
0159151;0159151000;0159151999;ABCL;Métropole;12/12/2022
0159152;0159152000;0159152999;ABCL;Métropole;12/12/2022
0159153;0159153000;0159153999;REZZ;Métropole;23/07/2025
0159154;0159154000;0159154999;NUSO;Métropole;16/09/2025
0159155;0159155000;0159155999;ABCL;Métropole;12/12/2022
0159156;0159156000;0159156999;INOX;Métropole;07/09/2026
0159157;0159157000;0159157999;INOX;Métropole;07/09/2026
0159158;0159158000;0159158999;INOX;Métropole;07/09/2026
0159159;0159159000;0159159999;ABCL;Métropole;12/12/2022
015916;0159160000;0159169999;TWIL;Métropole;29/07/2025
0159170;0159170000;0159170999;SYNE;Métropole;12/01/2026
0159174;0159174000;0159174999;SYNE;Métropole;12/01/2026
0159175;0159175000;0159175999;ONOF;Métropole;01/04/2026
0159176;0159176000;0159176999;ONOF;Métropole;01/04/2026
0159177;0159177000;0159177999;ONOF;Métropole;01/04/2026
0159178;0159178000;0159178999;ONOF;Métropole;01/04/2026
0159179;0159179000;0159179999;ONOF;Métropole;01/04/2026
0159180;0159180000;0159180999;CLTL;Métropole;27/12/2024
0159190;0159190000;0159190999;CLLK;Métropole;16/01/2025
015920;0159200000;0159209999;BICS;Métropole;15/01/2025
015921;0159210000;0159219999;WRDL;Métropole;22/12/2022
0159220;0159220000;0159220999;IBRO;Métropole;22/12/2022
0159235;0159235000;0159235999;DIME;Métropole;02/01/2025
0159236;0159236000;0159236999;DIME;Métropole;02/01/2025
015924;0159240000;0159249999;AWSS;Métropole;26/12/2022
0159250;0159250000;0159250999;NUWA;Métropole;01/01/2023
0159260;0159260000;0159260999;MKTO;Métropole;01/01/2023
0159270;0159270000;0159270999;CMTF;Métropole;01/01/2023
015928;0159280000;0159289999;BJTP;Métropole;09/01/2023
015929;0159290000;0159299999;BJTP;Métropole;09/01/2023
015930;0159300000;0159309999;ALCC;Métropole;18/01/2023
015931;0159310000;0159319999;ONOF;Métropole;01/04/2026
0159320;0159320000;0159320999;ONCN;Métropole;23/01/2023
015933;0159330000;0159339999;ATTG;Métropole;23/01/2023
0159340;0159340000;0159340999;MASS;Métropole;30/01/2023
015935;0159350000;0159359999;GGCF;Métropole;02/10/2025
0159360;0159360000;0159360999;EQUA;Métropole;02/02/2023
0159371;0159371000;0159371999;NWOT;Métropole;06/06/2025
0159372;0159372000;0159372999;AXIO;Métropole;30/09/2025
0159373;0159373000;0159373999;NWOT;Métropole;08/02/2023
015938;0159380000;0159389999;LABS;Métropole;04/05/2026
015939;0159390000;0159399999;QWLK;Métropole;23/02/2023
0159410;0159410000;0159410999;OPHO;Métropole;28/02/2023
015942;0159420000;0159429999;VPED;Métropole;11/06/2025
0159435;0159435000;0159435999;FVE9;Métropole;18/03/2025
015944;0159440000;0159449999;RCFR;Métropole;16/03/2023
0159450;0159450000;0159450999;SAFE;Métropole;06/11/2025
0159454;0159454000;0159454999;SAFE;Métropole;06/11/2025
0159455;0159455000;0159455999;SAFE;Métropole;06/11/2025
0159460;0159460000;0159460999;EASY;Métropole;20/03/2023
0159470;0159470000;0159470999;TRIN;Métropole;28/03/2023
015948;0159480000;0159489999;TWIL;Métropole;07/07/2026
0159490;0159490000;0159490999;CLTE;Métropole;15/05/2025
0159491;0159491000;0159491999;CLTE;Métropole;15/05/2025
0159500;0159500000;0159500999;NICE;Métropole;02/04/2026
015951;0159510000;0159519999;OOMI;Métropole;04/05/2023
0159520;0159520000;0159520999;TSOD;Métropole;04/06/2025
0159530;0159530000;0159530999;MIXW;Métropole;04/03/2024
0159531;0159531000;0159531999;EISS;Métropole;05/03/2024
0159535;0159535000;0159535999;INPC;Métropole;16/05/2023
0159536;0159536000;0159536999;RUBT;Métropole;13/02/2024
0159537;0159537000;0159537999;GPAM;Métropole;21/05/2026
0159538;0159538000;0159538999;GPAM;Métropole;21/05/2026
0159550;0159550000;0159550999;EURA;Métropole;11/03/2025
0159554;0159554000;0159554999;EURA;Métropole;11/03/2025
0159559;0159559000;0159559999;EURA;Métropole;11/03/2025
0159570;0159570000;0159570999;THEC;Métropole;13/11/2025
0159571;0159571000;0159571999;THEC;Métropole;13/11/2025
0159572;0159572000;0159572999;THEC;Métropole;13/11/2025
0159580;0159580000;0159580999;TWIL;Métropole;18/12/2025
0159581;0159581000;0159581999;DGIS;Métropole;05/08/2025
0159582;0159582000;0159582999;SDCI;Métropole;01/07/2023
0159583;0159583000;0159583999;EOLY;Métropole;18/07/2025
0159584;0159584000;0159584999;HETE;Métropole;24/07/2023
0159585;0159585000;0159585999;ZOOM;Métropole;09/12/2024
0159586;0159586000;0159586999;ZOOM;Métropole;09/12/2024
0159587;0159587000;0159587999;ZOOM;Métropole;09/12/2024
0159588;0159588000;0159588999;ZOOM;Métropole;09/12/2024
0159589;0159589000;0159589999;ZOOM;Métropole;09/12/2024
0159590;0159590000;0159590999;SFR0;Métropole;11/11/2024
0159591;0159591000;0159591999;SFR0;Métropole;11/11/2024
0159592;0159592000;0159592999;SFR0;Métropole;11/11/2024
0160;0160000000;0160999999;FRTE;Métropole;01/01/2017
0161;0161000000;0161999999;FRTE;Métropole;01/01/2017
016200;0162000000;0162009999;LGC;Métropole;21/01/2021
016201;0162010000;0162019999;DIAB;Métropole;01/01/2023
016202;0162020000;0162029999;PLUG;Métropole;01/01/2023
016203;0162030000;0162039999;COLT;Métropole;01/01/2023
0162040;0162040000;0162040999;TLST;Métropole;01/01/2023
0162041;0162041000;0162041999;TLST;Métropole;01/01/2023
0162042;0162042000;0162042999;TLST;Métropole;01/01/2023
0162043;0162043000;0162043999;QWLK;Métropole;31/07/2026
0162044;0162044000;0162044999;TWIL;Métropole;04/08/2026
0162045;0162045000;0162045999;TWIL;Métropole;04/08/2026
0162046;0162046000;0162046999;KAVE;Métropole;01/09/2026
0162050;0162050000;0162050999;SPCV;Métropole;01/01/2023
0162051;0162051000;0162051999;SPCV;Métropole;01/01/2023
016206;0162060000;0162069999;BOUY;Métropole;01/01/2023
016207;0162070000;0162079999;BOUY;Métropole;01/01/2023
0162080;0162080000;0162080999;IAGI;Métropole;01/01/2023
0162081;0162081000;0162081999;IAGI;Métropole;01/01/2023
0162082;0162082000;0162082999;IAGI;Métropole;01/01/2023
0162083;0162083000;0162083999;IAGI;Métropole;01/01/2023
0162084;0162084000;0162084999;IAGI;Métropole;01/01/2023
0162085;0162085000;0162085999;LGC;Métropole;31/10/2025
0162086;0162086000;0162086999;LGC;Métropole;31/10/2025
0162087;0162087000;0162087999;LGC;Métropole;31/10/2025
0162088;0162088000;0162088999;LGC;Métropole;31/10/2025
0162089;0162089000;0162089999;LGC;Métropole;31/10/2025
016209;0162090000;0162099999;CYDS;Métropole;01/01/2023
0162100;0162100000;0162100999;SFR0;Métropole;20/12/2024
0162101;0162101000;0162101999;SFR0;Métropole;20/12/2024
0162102;0162102000;0162102999;RCFR;Métropole;09/01/2025
0162103;0162103000;0162103999;FNTX;Métropole;09/01/2025
0162104;0162104000;0162104999;UBIC;Métropole;31/01/2025
0162105;0162105000;0162105999;SNXS;Métropole;25/03/2025
0162106;0162106000;0162106999;LGC;Métropole;27/03/2025
0162107;0162107000;0162107999;LGC;Métropole;31/03/2025
0162108;0162108000;0162108999;LGC;Métropole;31/03/2025
016212;0162120000;0162129999;FREE;Métropole;01/01/2023
016213;0162130000;0162139999;SFR0;Métropole;01/01/2023
016214;0162140000;0162149999;GETG;Métropole;09/01/2025
016215;0162150000;0162159999;VAST;Métropole;09/01/2025
0162160;0162160000;0162160999;SDCI;Métropole;01/01/2023
0162161;0162161000;0162161999;SDCI;Métropole;01/01/2023
0162162;0162162000;0162162999;SDCI;Métropole;01/01/2023
0162163;0162163000;0162163999;SDCI;Métropole;01/01/2023
0162164;0162164000;0162164999;SDCI;Métropole;01/01/2023
0162165;0162165000;0162165999;SDCI;Métropole;01/01/2023
0162166;0162166000;0162166999;STEL;Métropole;10/03/2026
0162167;0162167000;0162167999;CLTE;Métropole;16/03/2026
0162168;0162168000;0162168999;QWLK;Métropole;29/04/2026
0162169;0162169000;0162169999;QWLK;Métropole;29/04/2026
016217;0162170000;0162179999;PHGS;Métropole;01/01/2023
016218;0162180000;0162189999;THEC;Métropole;01/01/2023
016219;0162190000;0162199999;SPAR;Métropole;20/01/2026
016220;0162200000;0162209999;OXIL;Métropole;29/01/2025
016221;0162210000;0162219999;GMBZ;Métropole;23/12/2025
016222;0162220000;0162229999;EVMI;Métropole;01/01/2023
0162230;0162230000;0162230999;FRTE;Métropole;01/01/2023
0162231;0162231000;0162231999;FRTE;Métropole;01/01/2023
016224;0162240000;0162249999;DVSC;Métropole;12/01/2023
0162250;0162250000;0162250999;VOIM;Métropole;12/06/2024
0162251;0162251000;0162251999;VOIM;Métropole;12/06/2024
0162252;0162252000;0162252999;PNAT;Métropole;22/07/2025
0162253;0162253000;0162253999;VOIM;Métropole;12/06/2024
0162254;0162254000;0162254999;VOIM;Métropole;12/06/2024
0162255;0162255000;0162255999;VOIM;Métropole;12/06/2024
0162256;0162256000;0162256999;VOIM;Métropole;12/06/2024
0162257;0162257000;0162257999;VOIM;Métropole;12/06/2024
0162258;0162258000;0162258999;VOIM;Métropole;12/06/2024
0162259;0162259000;0162259999;VOIM;Métropole;12/06/2024
0162260;0162260000;0162260999;MKTO;Métropole;12/01/2023
0162261;0162261000;0162261999;DVSC;Métropole;01/08/2025
0162262;0162262000;0162262999;UBIC;Métropole;29/08/2024
0162263;0162263000;0162263999;INOX;Métropole;10/09/2024
0162264;0162264000;0162264999;QWLK;Métropole;03/10/2024
0162265;0162265000;0162265999;SFR0;Métropole;01/10/2024
0162266;0162266000;0162266999;FLCA;Métropole;03/10/2024
0162267;0162267000;0162267999;FLCA;Métropole;03/10/2024
0162268;0162268000;0162268999;SFR0;Métropole;14/11/2024
0162269;0162269000;0162269999;QWLK;Métropole;19/12/2024
0162270;0162270000;0162270999;ODIG;Métropole;18/01/2023
0162281;0162281000;0162281999;KAVE;Métropole;11/11/2025
0162282;0162282000;0162282999;ATST;Métropole;02/12/2025
0162283;0162283000;0162283999;KAVE;Métropole;16/06/2026
0162284;0162284000;0162284999;QWLK;Métropole;24/12/2025
0162285;0162285000;0162285999;AIRC;Métropole;13/02/2026
0162286;0162286000;0162286999;GTLB;Métropole;29/07/2026
0162287;0162287000;0162287999;INOX;Métropole;26/03/2026
0162288;0162288000;0162288999;INOX;Métropole;26/03/2026
0162289;0162289000;0162289999;INOX;Métropole;26/03/2026
0162290;0162290000;0162290999;TWIL;Métropole;22/04/2026
0162291;0162291000;0162291999;JAG;Métropole;20/01/2023
0162300;0162300000;0162300999;KAVE;Métropole;20/01/2023
0162301;0162301000;0162301999;KAVE;Métropole;20/01/2023
0162303;0162303000;0162303999;KAVE;Métropole;20/01/2023
0162304;0162304000;0162304999;KAVE;Métropole;20/01/2023
0162305;0162305000;0162305999;KAVE;Métropole;20/01/2023
0162306;0162306000;0162306999;KAVE;Métropole;20/01/2023
0162308;0162308000;0162308999;KAVE;Métropole;20/01/2023
0162309;0162309000;0162309999;KAVE;Métropole;20/01/2023
016231;0162310000;0162319999;EONE;Métropole;23/01/2023
016232;0162320000;0162329999;YAAT;Métropole;23/01/2023
0162340;0162340000;0162340999;INCL;Métropole;24/01/2023
0162341;0162341000;0162341999;SFR0;Métropole;09/02/2026
0162342;0162342000;0162342999;SFR0;Métropole;09/02/2026
0162343;0162343000;0162343999;INCL;Métropole;24/01/2023
0162344;0162344000;0162344999;FLCA;Métropole;14/05/2026
0162345;0162345000;0162345999;FLCA;Métropole;14/05/2026
0162346;0162346000;0162346999;FLCA;Métropole;14/05/2026
0162347;0162347000;0162347999;DVSC;Métropole;30/07/2026
0162348;0162348000;0162348999;INCL;Métropole;24/01/2023
0162349;0162349000;0162349999;UBIC;Métropole;04/09/2025
0162350;0162350000;0162350999;LEGO;Métropole;31/01/2023
0162351;0162351000;0162351999;LGC;Métropole;31/03/2025
0162352;0162352000;0162352999;LGC;Métropole;31/03/2025
0162353;0162353000;0162353999;LGC;Métropole;31/03/2025
0162354;0162354000;0162354999;LGC;Métropole;31/03/2025
0162355;0162355000;0162355999;LGC;Métropole;31/03/2025
0162356;0162356000;0162356999;LGC;Métropole;31/03/2025
0162357;0162357000;0162357999;LGC;Métropole;31/03/2025
0162358;0162358000;0162358999;NXRA;Métropole;07/04/2025
0162359;0162359000;0162359999;GNTL;Métropole;31/03/2025
016238;0162380000;0162389999;ALPL;Métropole;17/04/2025
0162390;0162390000;0162390999;OPHO;Métropole;14/02/2023
0162410;0162410000;0162410999;COVE;Métropole;16/02/2023
0162430;0162430000;0162430999;SEWA;Métropole;20/02/2023
0162431;0162431000;0162431999;SEWA;Métropole;20/02/2023
0162432;0162432000;0162432999;SEWA;Métropole;20/02/2023
0162433;0162433000;0162433999;SEWA;Métropole;20/02/2023
0162434;0162434000;0162434999;LGC;Métropole;19/01/2026
0162435;0162435000;0162435999;LGC;Métropole;19/01/2026
0162436;0162436000;0162436999;LGC;Métropole;19/01/2026
0162437;0162437000;0162437999;LGC;Métropole;19/01/2026
0162438;0162438000;0162438999;LGC;Métropole;19/01/2026
0162439;0162439000;0162439999;SEWA;Métropole;20/02/2023
0162450;0162450000;0162450999;AXLY;Métropole;01/03/2023
0162460;0162460000;0162460999;W3TE;Métropole;06/04/2023
0162470;0162470000;0162470999;DGLP;Métropole;19/04/2023
0162480;0162480000;0162480999;MCI;Métropole;28/04/2023
0162481;0162481000;0162481999;MCI;Métropole;28/04/2023
0162490;0162490000;0162490999;INPC;Métropole;15/07/2025
0162491;0162491000;0162491999;LNCT;Métropole;08/02/2024
0162492;0162492000;0162492999;AVMI;Métropole;22/05/2024
0162493;0162493000;0162493999;CCKS;Métropole;13/07/2026
0162494;0162494000;0162494999;RMII;Métropole;07/06/2024
0162495;0162495000;0162495999;PNAT;Métropole;04/07/2025
0162496;0162496000;0162496999;ANEL;Métropole;12/07/2024
0162497;0162497000;0162497999;DVSC;Métropole;01/08/2024
0162498;0162498000;0162498999;DVSC;Métropole;01/08/2024
0162499;0162499000;0162499999;DVSC;Métropole;01/08/2024
016250;0162500000;0162509999;BICS;Métropole;04/06/2025
0162520;0162520000;0162520999;ISOM;Métropole;23/04/2025
0162521;0162521000;0162521999;INIT;Métropole;11/07/2023
0162522;0162522000;0162522999;QWLK;Métropole;13/02/2026
0162523;0162523000;0162523999;QWLK;Métropole;13/02/2026
0162524;0162524000;0162524999;RHOV;Métropole;18/12/2025
0162525;0162525000;0162525999;DVSC;Métropole;31/08/2023
0162526;0162526000;0162526999;SNXS;Métropole;21/10/2025
0162527;0162527000;0162527999;SVCM;Métropole;06/02/2025
0162528;0162528000;0162528999;UNTE;Métropole;27/10/2025
0162529;0162529000;0162529999;INOX;Métropole;16/11/2023
016253;0162530000;0162539999;BJTP;Métropole;07/07/2023
0162540;0162540000;0162540999;SFR0;Métropole;23/11/2023
0162541;0162541000;0162541999;OXIL;Métropole;23/11/2023
0162542;0162542000;0162542999;OXIL;Métropole;23/11/2023
0162543;0162543000;0162543999;OXIL;Métropole;23/11/2023
0162544;0162544000;0162544999;OXIL;Métropole;23/11/2023
0162545;0162545000;0162545999;OXIL;Métropole;23/11/2023
0162546;0162546000;0162546999;UBIC;Métropole;28/07/2026
0162547;0162547000;0162547999;UBIC;Métropole;28/07/2026
0162548;0162548000;0162548999;AWSS;Métropole;11/08/2026
0162549;0162549000;0162549999;CLTE;Métropole;02/03/2026
016255;0162550000;0162559999;LGC;Métropole;11/12/2023
016256;0162560000;0162569999;LGC;Métropole;02/08/2024
0162570;0162570000;0162570999;INOX;Métropole;11/04/2025
0162571;0162571000;0162571999;LNCT;Métropole;17/04/2025
0162572;0162572000;0162572999;QWLK;Métropole;30/04/2025
0162573;0162573000;0162573999;OXIL;Métropole;04/06/2025
0162574;0162574000;0162574999;SFR0;Métropole;12/06/2025
0164;0164000000;0164999999;FRTE;Métropole;01/01/2017
0169;0169000000;0169999999;FRTE;Métropole;01/01/2017
017000;0170000000;0170009999;UPCF;Métropole;01/05/2014
017001;0170010000;0170019999;UPCF;Métropole;01/05/2014
017002;0170020000;0170029999;UPCF;Métropole;01/05/2014
017003;0170030000;0170039999;HUBT;Métropole;27/07/2001
017004;0170040000;0170049999;UPCF;Métropole;01/05/2014
017005;0170050000;0170059999;UPCF;Métropole;01/05/2014
017006;0170060000;0170069999;MCI;Métropole;01/01/2018
017007;0170070000;0170079999;UPCF;Métropole;01/05/2014
017008;0170080000;0170089999;COMP;Métropole;20/12/2011
017009;0170090000;0170099999;COMP;Métropole;20/12/2011
017010;0170100000;0170109999;UPCF;Métropole;01/05/2014
017011;0170110000;0170119999;FREE;Métropole;08/01/2009
017012;0170120000;0170129999;MCI;Métropole;01/01/2018
017013;0170130000;0170139999;SFR0;Métropole;08/12/2011
017014;0170140000;0170149999;FREE;Métropole;08/01/2009
017015;0170150000;0170159999;SFR0;Métropole;08/12/2011
017016;0170160000;0170169999;SFR0;Métropole;08/12/2011
017017;0170170000;0170179999;COMP;Métropole;20/12/2011
017018;0170180000;0170189999;SFR0;Métropole;08/12/2011
017019;0170190000;0170199999;SFR0;Métropole;08/12/2011
01702;0170200000;0170299999;SFR0;Métropole;08/12/2011
017030;0170300000;0170309999;FREE;Métropole;08/01/2009
017031;0170310000;0170319999;FREE;Métropole;08/01/2009
017032;0170320000;0170329999;SFR0;Métropole;08/12/2011
017033;0170330000;0170339999;SFR0;Métropole;08/12/2011
017034;0170340000;0170349999;FREE;Métropole;08/01/2009
017035;0170350000;0170359999;SFR0;Métropole;08/12/2011
017036;0170360000;0170369999;COLT;Métropole;01/01/2018
017037;0170370000;0170379999;COLT;Métropole;01/01/2018
017038;0170380000;0170389999;COLT;Métropole;01/01/2018
017039;0170390000;0170399999;COLT;Métropole;01/01/2018
017040;0170400000;0170409999;UPCF;Métropole;01/05/2014
017041;0170410000;0170419999;FREE;Métropole;08/01/2009
017042;0170420000;0170429999;SFR0;Métropole;08/12/2011
017043;0170430000;0170439999;FREE;Métropole;08/01/2009
017044;0170440000;0170449999;SFR0;Métropole;08/12/2011
017045;0170450000;0170459999;FREE;Métropole;08/01/2009
017046;0170460000;0170469999;SFR0;Métropole;08/12/2011
017047;0170470000;0170479999;FREE;Métropole;08/01/2009
017048;0170480000;0170489999;FRTE;Métropole;01/07/2018
017049;0170490000;0170499999;FREE;Métropole;08/01/2009
017050;0170500000;0170509999;UPCF;Métropole;01/05/2014
017051;0170510000;0170519999;SFR0;Métropole;08/12/2011
017052;0170520000;0170529999;FREE;Métropole;08/01/2009
017053;0170530000;0170539999;SFR0;Métropole;08/12/2011
017054;0170540000;0170549999;FREE;Métropole;08/01/2009
017055;0170550000;0170559999;SFR0;Métropole;08/12/2011
017056;0170560000;0170569999;SFR0;Métropole;08/12/2011
017057;0170570000;0170579999;FREE;Métropole;08/01/2009
017058;0170580000;0170589999;SFR0;Métropole;08/12/2011
017059;0170590000;0170599999;SFR0;Métropole;08/12/2011
017060;0170600000;0170609999;SFR0;Métropole;08/12/2011
017061;0170610000;0170619999;INIT;Métropole;14/06/2005
017062;0170620000;0170629999;SFR0;Métropole;08/12/2011
017063;0170630000;0170639999;MCI;Métropole;01/01/2018
017064;0170640000;0170649999;SFR0;Métropole;08/12/2011
017065;0170650000;0170659999;MCI;Métropole;01/01/2018
017066;0170660000;0170669999;MCI;Métropole;01/01/2018
017067;0170670000;0170679999;MCI;Métropole;01/01/2018
017068;0170680000;0170689999;SFR0;Métropole;08/12/2011
017069;0170690000;0170699999;SFR0;Métropole;08/12/2011
01707;0170700000;0170799999;MCI;Métropole;01/01/2018
017080;0170800000;0170809999;MCI;Métropole;01/01/2018
017081;0170810000;0170819999;COLT;Métropole;01/01/2018
017082;0170820000;0170829999;COLT;Métropole;01/01/2018
017083;0170830000;0170839999;COLT;Métropole;01/01/2018
017084;0170840000;0170849999;COLT;Métropole;01/01/2018
017085;0170850000;0170859999;COLT;Métropole;01/01/2018
017086;0170860000;0170869999;COLT;Métropole;01/01/2018
017087;0170870000;0170879999;COLT;Métropole;01/01/2018
017088;0170880000;0170889999;COLT;Métropole;01/01/2018
017089;0170890000;0170899999;COLT;Métropole;01/01/2018
01709;0170900000;0170999999;COLT;Métropole;01/01/2018
0171;0171000000;0171999999;SFR0;Métropole;08/12/2011
01720;0172000000;0172099999;MCI;Métropole;01/01/2018
01721;0172100000;0172199999;MCI;Métropole;01/01/2018
017220;0172200000;0172209999;MCI;Métropole;01/01/2018
017221;0172210000;0172219999;MCI;Métropole;01/01/2018
017222;0172220000;0172229999;MCI;Métropole;01/01/2018
017223;0172230000;0172239999;MCI;Métropole;01/01/2018
017224;0172240000;0172249999;SFR0;Métropole;08/12/2011
017225;0172250000;0172259999;MCI;Métropole;01/01/2018
017226;0172260000;0172269999;MCI;Métropole;01/01/2018
017227;0172270000;0172279999;COMP;Métropole;03/05/2000
017228;0172280000;0172289999;MCI;Métropole;01/01/2018
017229;0172290000;0172299999;COMP;Métropole;03/05/2000
017230;0172300000;0172309999;SFR0;Métropole;08/12/2011
017231;0172310000;0172319999;SFR0;Métropole;08/12/2011
017232;0172320000;0172329999;SFR0;Métropole;08/12/2011
017233;0172330000;0172339999;SFR0;Métropole;08/12/2011
017234;0172340000;0172349999;SFR0;Métropole;08/12/2011
0172350;0172350000;0172350999;MSIO;Métropole;08/02/2024
0172351;0172351000;0172351999;MSIO;Métropole;08/02/2024
0172352;0172352000;0172352999;MSIO;Métropole;08/02/2024
0172353;0172353000;0172353999;DIDT;Métropole;07/09/2026
0172354;0172354000;0172354999;MSIO;Métropole;08/02/2024
0172355;0172355000;0172355999;MSIO;Métropole;08/02/2024
0172356;0172356000;0172356999;MSIO;Métropole;08/02/2024
0172358;0172358000;0172358999;MSIO;Métropole;08/02/2024
017236;0172360000;0172369999;SFR0;Métropole;08/12/2011
017237;0172370000;0172379999;FRSP;Métropole;27/01/2025
